,external_id,legacy_id,lon,lat,short_name,eightd_has_key_dispenser,name,capacity,has_kiosk,eightd_station_services,station_type,rental_methods,station_id,electric_bike_surcharge_waiver,region_id,rental_uris.ios,rental_uris.android
1043,67f60e7e-397a-4e47-b7f9-d10bd67133b3,4073,-73.97811613976955,40.75973805251143,6700.14,False,W 51 St & Rockefeller Plaza,35,True,[],classic,"['CREDITCARD', 'KEY']",4073,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1044,5dc8ddac-979e-4ae5-b879-3670cca7482d,4074,-73.936085,40.838191,8187.04,False,Edgecombe Ave & W 167 St,23,True,[],classic,"['CREDITCARD', 'KEY']",4074,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1045,50575cba-95ac-4134-9da1-3eec8253afc4,4075,-73.969862,40.78476,7354.01,False,Central Park West & W 85 St,38,True,[],classic,"['CREDITCARD', 'KEY']",4075,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1046,425b8fac-90d4-44f4-a6a8-3010b5f155ad,4076,-73.928947,40.820089,7906.13,False,E 150 St & Gerard Ave,29,True,[],classic,"['CREDITCARD', 'KEY']",4076,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1047,78ec2f0d-c309-46d4-8808-7eb1a0674e38,4078,-73.919379,40.823732,8000.02,False,Concourse Village East & E 158 St,31,True,[],classic,"['CREDITCARD', 'KEY']",4078,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1048,ecbfcdb7-fffc-4d45-bed2-1510fd45834d,4080,-73.926226,40.831444,8096.02,False,Jerome Ave & E 164 St,21,True,[],classic,"['CREDITCARD', 'KEY']",4080,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1049,0f536c08-dde3-40af-a66d-1fe1e7edecd2,4081,-73.922394,40.83173,8111.04,False,Gerard Ave & E 165 St,21,True,[],classic,"['CREDITCARD', 'KEY']",4081,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1050,9c2a741d-7f3e-4aa1-b58b-db5c3e6bcb20,4082,-73.92112,40.833909,8145.03,False,Gerard Ave & McClellan St,30,True,[],classic,"['CREDITCARD', 'KEY']",4082,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1051,b896d83d-5524-4c9c-a2aa-c1b0edaadc22,4083,-73.918316,40.83649,8179.03,False,Walton Ave & E 168 St,20,True,[],classic,"['CREDITCARD', 'KEY']",4083,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
1052,545a32d3-b74c-4dc2-b82c-a6d185dd4666,4084,-73.9154,40.835334,8160.03,False,Sheridan Ave & E 168 St,22,True,[],classic,"['CREDITCARD', 'KEY']",4084,False,71,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan
